Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
3048,0.08483461,0.073984616,0.041757688,0.37861925,0.15281539,0.06445384
3049,0.08410769,0.07199231,0.04043846,0.37608847,0.15138847,0.06442692
3050,0.08311154,0.06959615,0.03809615,0.37816155,0.14888461,0.060953844
3051,0.083273076,0.06946153,0.03844615,0.37048846,0.15187308,0.06291923
3052,0.08381154,0.06943461,0.038930766,0.38303462,0.15157692,0.06181538
3053,0.08343461,0.06795384,0.0366423,0.36566925,0.14067307,0.056861535
3054,0.08758077,0.074873075,0.048703842,0.28861538,0.116603844,0.047223072
3055,0.10147308,0.09032692,0.08461923,0.07414615,0.017284611,0.008319226
3056,0.10335769,0.09285769,0.0901923,0.047869228,0.005653841,0.002611533
3057,0.10311538,0.09293846,0.09003077,0.04800384,0.005788456,0.0029884563
3058,0.09969615,0.08846923,0.08157692,0.098780766,0.026653841,0.012788457
3059,0.08607308,0.07726923,0.043373074,0.39356154,0.1491,0.062353842
3060,0.08451153,0.07296154,0.040492304,0.3832231,0.15286922,0.06442692
3061,0.08451153,0.07298846,0.04019615,0.36978847,0.1495577,0.06299999
3062,0.08453846,0.07376923,0.041299995,0.3686577,0.1523577,0.06378077
3063,0.08467308,0.07341923,0.040330764,0.37498462,0.1517923,0.06281154
3064,0.08456538,0.07368846,0.040330764,0.3668,0.1491,0.06240769
3065,0.08496923,0.077484615,0.04218846,0.36488846,0.14708076,0.06305385
3066,0.08308461,0.069973074,0.04003461,0.25253847,0.09759615,0.045930766
3067,0.08292308,0.071938455,0.04086923,0.2907154,0.120642304,0.05007692
3068,0.08499615,0.07565384,0.041111536,0.37934616,0.15149616,0.06310769
3069,0.084915385,0.07414615,0.041003842,0.3751731,0.15090385,0.06291923
3070,0.08480769,0.073553845,0.04030384,0.37347692,0.15093076,0.06248846
3071,0.083380766,0.07175,0.039092302,0.3728577,0.14673077,0.060630765
3072,0.08383846,0.07153461,0.039038457,0.36801153,0.14411923,0.06014615
3073,0.08464615,0.07403846,0.040842302,0.37977692,0.15128078,0.063080765
3074,0.08521154,0.07578846,0.04248461,0.34633848,0.1397577,0.060119227
3075,0.08453846,0.076084614,0.040249996,0.4212654,0.14584231,0.06084615
3076,0.08464615,0.07218076,0.039092302,0.42183077,0.15410769,0.06335
3077,0.08461923,0.07393077,0.039469227,0.4198923,0.15709615,0.06310769
3078,0.0849423,0.074765384,0.041434612,0.32988846,0.124653846,0.05015769
3079,0.08857692,0.07115769,0.05031923,0.13833077,0.050238457,0.020542303
3080,0.09296538,0.07721538,0.06299999,0.09148461,0.023799995,0.010769226
3081,0.102953844,0.0931,0.09005769,0.048488457,0.007430764,0.0037692254
3082,0.103465386,0.09353077,0.09118846,0.04692692,0.0037153794,0.0020461485
3083,0.103384614,0.09404231,0.09196923,0.045473073,0.0040384564,0.00188461
3084,0.103384614,0.09358461,0.09145769,0.045473073,0.0041999947,0.00188461
3085,0.10281923,0.09180769,0.08922307,0.048811536,0.0048192255,0.0023692255
3086,0.10168846,0.09013846,0.08499615,0.076165386,0.014080765,0.007430764
