Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
249,0.08790384,0.08111923,0.052419227,0.35215387,0.20246154,0.0924
250,0.08873846,0.08114615,0.054761536,0.33721155,0.21021539,0.09875385
251,0.08943846,0.08117308,0.056861535,0.33077693,0.21393077,0.10047692
252,0.08997692,0.08211538,0.058342304,0.33206925,0.21525,0.10176923
253,0.09075769,0.08278846,0.060873073,0.32646924,0.22895385,0.11030384
254,0.08424231,0.07145385,0.041380767,0.4313077,0.17513461,0.07078077
255,0.08303077,0.06709231,0.037180766,0.46076155,0.18086924,0.068869226
256,0.082626924,0.06375384,0.03836538,0.34402308,0.13878846,0.053523075
257,0.08146923,0.05874615,0.039361533,0.16899616,0.062003843,0.025523072
258,0.082626924,0.06706538,0.036857687,0.4464923,0.17166154,0.06598846
259,0.08324615,0.069730766,0.03809615,0.44148463,0.17513461,0.06771153
260,0.08488846,0.07473846,0.04315769,0.39878464,0.1635577,0.06687692
261,0.08822692,0.07772692,0.05206923,0.3198731,0.17069231,0.078049995
262,0.087634616,0.07788846,0.05155769,0.32442307,0.17131154,0.076730765
263,0.08577692,0.07506154,0.047303844,0.3378577,0.16277692,0.07177692
264,0.082949996,0.06841154,0.037503842,0.4213731,0.16770385,0.06453461
265,0.083192304,0.069649994,0.03763846,0.42226154,0.1663577,0.06418461
266,0.08324615,0.07080769,0.03809615,0.42573464,0.17131154,0.066580765
267,0.08343461,0.07199231,0.039792303,0.38712692,0.15658462,0.06348461
268,0.08281538,0.070942305,0.037799995,0.42899233,0.16654615,0.06512692
269,0.08348846,0.0712923,0.04062692,0.37797308,0.15833461,0.065692306
270,0.087769225,0.077619225,0.053334612,0.34232694,0.19890769,0.09011154
271,0.090811536,0.08079615,0.059930768,0.32418078,0.2298154,0.109253846
272,0.089815386,0.08060769,0.05691538,0.3431077,0.2259923,0.10518846
273,0.09024615,0.08249231,0.05742692,0.3563,0.21786155,0.10028846
274,0.0889,0.08160384,0.05454615,0.35619232,0.19893461,0.09094615
275,0.08911538,0.08297692,0.05422307,0.3586154,0.19581154,0.08849615
276,0.09000384,0.08300384,0.055138458,0.3504846,0.20028077,0.093773074
277,0.089949995,0.08235769,0.055999998,0.33637694,0.20615,0.097273074
278,0.08962692,0.08173846,0.056188457,0.3320154,0.20582692,0.09646538
279,0.08989615,0.08176538,0.05664615,0.3301577,0.20825,0.09883461
280,0.08970769,0.081873074,0.056511536,0.33333462,0.21091539,0.10001923
281,0.09056923,0.08216923,0.058961537,0.3271154,0.2097577,0.099669226
282,0.08429615,0.07091538,0.04256538,0.40955386,0.17015384,0.07010769
283,0.082949996,0.06792692,0.037342303,0.46533847,0.18140769,0.069299996
284,0.08278846,0.06407692,0.039038457,0.31691155,0.12772308,0.049053844
285,0.08211538,0.060873073,0.038580764,0.25959232,0.09905,0.039011534
286,0.08286923,0.06685,0.037934612,0.4379308,0.16961539,0.06434615
287,0.083380766,0.07121154,0.037988458,0.4350231,0.17833847,0.06827692
288,0.08346154,0.074549995,0.039253842,0.4140231,0.16272308,0.06477692
289,0.08440384,0.07554615,0.04423461,0.3656423,0.15478078,0.06501923
290,0.08475384,0.07621923,0.04506923,0.34889618,0.15534616,0.067469224
291,0.083703846,0.07250384,0.040923074,0.38260385,0.15890001,0.06410384
292,0.08270769,0.06978461,0.03785384,0.42086154,0.16622308,0.064507686
293,0.083299994,0.07035,0.038149998,0.43020386,0.16896923,0.06620384
294,0.083380766,0.07118461,0.038849995,0.41841155,0.16676153,0.066042304
295,0.08289615,0.07102308,0.039361533,0.40128848,0.15642308,0.06273077
296,0.08276153,0.0695423,0.037988458,0.42484617,0.16778462,0.065369226
297,0.08383846,0.07274615,0.043130767,0.3693577,0.16121538,0.06808846
