Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
42,0.09765,0.08391923,0.08136154,0.22001539,0.28199232,0.15572308
43,0.10300769,0.09056923,0.09011154,0.2457,0.28481925,0.1584423
44,0.10066538,0.087230764,0.08227692,0.24462308,0.26923078,0.15039231
45,0.10012692,0.08741923,0.080123074,0.24981923,0.26952693,0.14718845
46,0.09635769,0.08553461,0.07075384,0.27456155,0.24236155,0.12532692
47,0.09323461,0.08095769,0.06305385,0.2640077,0.23689616,0.1211
48,0.09353077,0.080203846,0.064373076,0.24526924,0.23794615,0.12209615
49,0.09040769,0.080123074,0.05594615,0.29356924,0.21083462,0.09942692
50,0.09110769,0.08068846,0.059580766,0.2970154,0.2097577,0.09875385
51,0.089061536,0.08074231,0.054842304,0.32181156,0.1990154,0.09178077
52,0.08916923,0.083273076,0.055784613,0.3327154,0.19820769,0.09126923
53,0.08968077,0.08348846,0.05559615,0.32819232,0.19153076,0.08701538
54,0.08628846,0.072907686,0.04859615,0.2889654,0.17656153,0.08001538
55,0.086773075,0.07463077,0.051261537,0.27865386,0.1793077,0.08435
56,0.08717692,0.07428077,0.051423073,0.27501923,0.16140385,0.07713461
57,0.09172692,0.07729615,0.061061535,0.24745001,0.1822154,0.091565385
58,0.08930384,0.07261153,0.054949995,0.21153462,0.18167692,0.095092304
59,0.08736538,0.073123075,0.050130766,0.2570077,0.1892423,0.09231923
60,0.09105384,0.07406538,0.059015382,0.22324616,0.21043077,0.10815
61,0.08833461,0.06765769,0.052230764,0.15838847,0.14667693,0.07807692
62,0.08916923,0.07,0.054707687,0.1580923,0.1527077,0.08117308
63,0.09110769,0.07091538,0.06030769,0.16778462,0.21121155,0.11205384
64,0.09040769,0.069515385,0.05847692,0.1650923,0.20652692,0.112430766
65,0.08997692,0.07035,0.05866538,0.15954615,0.21621923,0.12045384
66,0.08900769,0.06849231,0.05898846,0.15723076,0.23711154,0.13273077
67,0.08903461,0.068734616,0.059499998,0.16178077,0.22793077,0.12699616
68,0.09269615,0.07393077,0.06628461,0.17777307,0.24187693,0.13386154
69,0.097273074,0.08276153,0.07831923,0.21578847,0.27448076,0.15338077
70,0.1003423,0.086315386,0.08335385,0.23132308,0.29181924,0.16118847
71,0.09950769,0.08486154,0.07990769,0.22906154,0.266,0.14530385
72,0.0971923,0.084053844,0.07374231,0.25434232,0.24561924,0.13181539
73,0.094203845,0.0835423,0.0665,0.28236923,0.23105384,0.11722308
74,0.092776924,0.08071538,0.06251538,0.2711154,0.23038077,0.116361536
75,0.09097307,0.07904615,0.060792305,0.26325384,0.2311077,0.11851539
76,0.09221154,0.08133461,0.062542304,0.27746925,0.23140384,0.11821923
77,0.09118846,0.08184615,0.060092304,0.30382693,0.21148077,0.10147308
78,0.089492306,0.08249231,0.056834612,0.31981924,0.19877309,0.09180769
